title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
davante adams,143,5,0.5639120936393738,0.5735437870025635,0.8644105195999146,0.7039284706115723
dave butz,65,7,0.6750742197036743,0.6773500442504883,0.9057956337928772,0.7738265991210938
dave clark (musician),67,2,0.5592591166496277,0.580862283706665,0.7485195994377136,0.6693491339683533
dave clawson,144,1,0.6223241090774536,0.6321802735328674,0.8088932037353516,0.7265880107879639
dave frost,47,5,0.6608089208602905,0.6545083522796631,0.9060441255569458,0.7715745568275452
dave hakstol,126,5,0.6229125261306763,0.6281026601791382,0.9107815623283386,0.7396267652511597
dave johns,114,4,0.504845142364502,0.5240753889083862,0.8123459219932556,0.6560633182525635
dave kehr,67,3,0.5737094879150391,0.5658795833587646,0.8710734844207764,0.7195131778717041
dave matthews,254,15,0.40408802032470703,0.405690461397171,0.8380568027496338,0.5249288082122803
dave mccabe,93,4,0.5377615094184875,0.5325998067855835,0.8368703126907349,0.6669674515724182
dave paulsen,105,3,0.657553493976593,0.6613451242446899,0.9035415649414062,0.7559263110160828
dave pensado,92,3,0.5794014930725098,0.5891894102096558,0.8204775452613831,0.6873041987419128
dave plummer,84,6,0.569047749042511,0.5709384679794312,0.8266525268554688,0.7031468749046326
dave roberts (broadcaster),52,4,0.5319687128067017,0.538907527923584,0.8628319501876831,0.6872572898864746
dave rowbotham,66,4,0.5507258772850037,0.5661165118217468,0.8772074580192566,0.716792643070221
dave schools,125,6,0.4530620872974396,0.4609072208404541,0.8457525968551636,0.6110941171646118
dave van ronk,148,34,0.5314004421234131,0.5299907922744751,0.8181552886962891,0.633090078830719
davey pattison,147,4,0.5508175492286682,0.5542616248130798,0.8436115980148315,0.6748024225234985
davey tree expert company,66,9,0.5830909013748169,0.5732370615005493,0.8778454661369324,0.7134310603141785
david a. siegel,133,6,0.5155928134918213,0.5274378657341003,0.7993353605270386,0.6675339937210083
david after dentist,80,4,0.5578888654708862,0.578237771987915,0.8623732328414917,0.7111489176750183
david armstrong (photographer),120,4,0.6040226221084595,0.5983105897903442,0.8428395986557007,0.701884925365448
david axelrod (musician),116,9,0.5418267250061035,0.5356959700584412,0.8735732436180115,0.6721462607383728
david bach (author),88,5,0.5766768455505371,0.5812789797782898,0.8444947004318237,0.6977877020835876
david bendeth,73,8,0.5074086785316467,0.5107542276382446,0.8100254535675049,0.655999481678009
david berenbaum,51,1,0.6082584261894226,0.6156931519508362,0.7916944622993469,0.6930567026138306
david berg,140,3,0.5123680233955383,0.5195494890213013,0.8457693457603455,0.6296756863594055
